iter	RMSE
438	23905.47471
439	23891.17836
440	23872.20996
441	23868.5544
442	23862.51565
443	23846.42283
444	23842.41568
445	23836.20086
446	23822.62686
447	23811.14667
448	23796.81821
449	23789.17424
450	23780.65471
451	23774.12393
452	23758.52247
453	23744.00357
454	23726.40411
455	23717.70238
456	23696.4952
457	23677.87091
458	23670.837
459	23660.61533
460	23644.38008
461	23635.85361
462	23635.4217
463	23623.37259
464	23618.05864
465	23612.63004
466	23601.23951
467	23581.16508
468	23567.41406
469	23557.27862
470	23547.55605
471	23531.31949
472	23522.45164
473	23516.8759
474	23500.13772
475	23494.7988
476	23483.75905
477	23483.48873
478	23469.93276
479	23448.55654
480	23435.89582
481	23430.0838
482	23424.0927
483	23423.45898
484	23419.07761
485	23403.06991
486	23391.55508
487	23377.65018
488	23362.64278
489	23347.50746
490	23338.08373
491	23337.93481
492	23324.96381
493	23308.72504
494	23298.14329
495	23293.38791
496	23290.07933
497	23284.41185
498	23277.55465
499	23262.45398
500	23248.11267
501	23234.46542
502	23220.44315
503	23210.73473
504	23204.76983
505	23195.07822
506	23189.24549
507	23186.2674
508	23182.3818
509	23178.31375
510	23168.66308
511	23150.88787
512	23146.55556
513	23135.90093
514	23122.13753
515	23118.53418
516	23113.91661
517	23105.12128
518	23104.30907
519	23092.76063
520	23082.49161
521	23077.21152
522	23071.11169
523	23065.31294
524	23062.28209
525	23052.65117
526	23046.71753
527	23037.63747
528	23032.60689
529	23027.55713
530	23015.02741
531	23007.34832
532	22990.23661
533	22981.63855
534	22978.58289
535	22973.90239
536	22968.38294
537	22960.64118
538	22949.9413
539	22947.33389
540	22937.40533
541	22928.80158
542	22918.75156
543	22914.767
544	22912.71348
545	22908.82248
546	22901.44982
547	22889.90452
548	22889.77573
549	22878.11705
550	22868.50062
551	22857.16549
552	22848.93493
553	22841.66339
554	22834.46092
555	22816.92117
556	22803.91257
557	22790.63839
558	22782.46474
559	22780.55419
560	22766.3598
561	22761.66051
562	22739.34522
563	22729.33287
564	22725.80004
565	22716.50843
566	22713.71907
567	22706.10494
568	22699.427
569	22695.55402
570	22687.55353
571	22683.41681
572	22679.55985
573	22673.36205
574	22673.16008
575	22663.83527
576	22654.27713
577	22634.68982
578	22624.68042
579	22615.90442
580	22606.8142
581	22605.58457
582	22600.56569
583	22589.07086
584	22588.22631
585	22587.5534
586	22581.72621
587	22577.78286
588	22571.10249
589	22570.90051
590	22560.03079
591	22551.63185
592	22539.50643
593	22535.57774
594	22519.1018
595	22509.27896
596	22494.95722
597	22479.62386
598	22473.55092
599	22468.75187
600	22458.56995
601	22449.0385
602	22440.32569
603	22420.56586
604	22416.70036
605	22399.68516
606	22399.57378
607	22390.69433
608	22384.02602
609	22374.21794
610	22370.70025
611	22350.51264
612	22341.14707
613	22337.40516
614	22314.39786
615	22305.68421
616	22300.66856
617	22287.7463
618	22284.84399
619	22275.04932
620	22270.27395
621	22262.07474
622	22251.51727
623	22245.39811
624	22239.02043
625	22231.53118
626	22227.3257
627	22217.38537
628	22207.37677
629	22190.23368
630	22189.95783
631	22183.32564
632	22183.11593
633	22178.91062
634	22169.41385
635	22166.38574
636	22152.92246
637	22141.60437
638	22140.08387
639	22133.65601
640	22131.00319
641	22124.19491
642	22111.3068
643	22108.75627
644	22098.64791
645	22094.56355
646	22094.16785
647	22082.93138
648	22072.43872
649	22063.70207
650	22056.45535
651	22051.00268
652	22046.76983
653	22035.74642
654	22031.70914
655	22021.61311
656	22007.30418
657	21996.50396
658	21987.27619
659	21976.84942
660	21968.62795
661	21959.8311
662	21953.58519
663	21944.36354
664	21935.56948
665	21923.75696
666	21918.88482
667	21907.12421
668	21899.24419
669	21890.43511
670	21886.93845
671	21870.05501
672	21866.67393
673	21860.28998
674	21854.12806
675	21845.69646
676	21836.07751
677	21831.06216
678	21825.44461
679	21823.79839
680	21819.07084
681	21815.65674
682	21803.87874
683	21795.8951
684	21786.99008
685	21781.71013
686	21779.34154
687	21771.09398
688	21759.36241
689	21751.58534
690	21740.08803
691	21726.03893
692	21708.56579
693	21700.84512
694	21682.76673
695	21672.26804
696	21662.21746
697	21646.52016
698	21640.63266
699	21634.62999
700	21627.90396
701	21623.18366
702	21619.02062
703	21606.75204
704	21600.52391
705	21596.74267
706	21581.74452
707	21578.04541
708	21567.60958
709	21561.04325
710	21547.93819
711	21535.28036
712	21524.96813
713	21513.20563
714	21509.87449
715	21509.68124
716	21506.0409
717	21500.18692
718	21483.10961
719	21466.16804
720	21456.79073
721	21439.74494
722	21430.36061
723	21414.6499
724	21399.02638
725	21398.77857
726	21388.95074
727	21386.33927
728	21378.98104
729	21374.1431
730	21363.09871
731	21360.81873
732	21354.53579
733	21349.99479
734	21343.06065
735	21336.18524
736	21325.97719
737	21321.94016
738	21305.84338
739	21302.50912
740	21297.62412
741	21290.17313
742	21285.1206
743	21282.91839
744	21267.37055
745	21264.5926
746	21263.96286
747	21250.00868
748	21243.01191
749	21229.92215
750	21225.1473
751	21222.31344
752	21213.77097
753	21206.11142
754	21204.33716
755	21200.14612
756	21196.08433
757	21182.42125
758	21178.35149
759	21171.52733
760	21162.23391
761	21156.66764
762	21145.54823
763	21138.29221
764	21135.23957
765	21121.79554
766	21121.0628
767	21117.83614
768	21111.52068
769	21105.58247
770	21102.44131
771	21093.0564
772	21087.34488
773	21087.13616
774	21079.86664
775	21077.1912
776	21073.63033
777	21070.1366
778	21068.70083
779	21066.64832
780	21059.33436
781	21057.94493
782	21052.64838
783	21039.42542
784	21032.37251
785	21022.35179
786	21018.37775
787	21004.66326
788	20996.84329
789	20987.23618
790	20984.00085
791	20969.5151
792	20962.63042
793	20958.1702
794	20950.15707
795	20941.2017
796	20931.31933
797	20921.86119
798	20920.70442
799	20912.70816
800	20910.37294
801	20909.63736
802	20896.5694
803	20890.55347
804	20885.07732
805	20877.95399
806	20874.47264
807	20868.91858
808	20868.66322
809	20865.92839
810	20860.73303
811	20848.38432
812	20836.27257
813	20830.85552
814	20826.38965
815	20820.66346
816	20808.39206
817	20797.36071
818	20789.36313
819	20786.0661
820	20777.77364
821	20771.0897
822	20757.79385
823	20754.68353
824	20751.40729
825	20742.06591
826	20735.95499
827	20731.86046
828	20726.95625
829	20719.2678
830	20710.80023
831	20697.27267
832	20694.06125
833	20686.72588
834	20680.02523
835	20674.74723
836	20669.38621
837	20661.44895
838	20643.75822
839	20640.15295
840	20632.68658
841	20631.54151
842	20623.26165
843	20618.97282
844	20617.72766
845	20603.29937
846	20595.03475
847	20591.57958
848	20588.20431
849	20580.19366
850	20577.69453
851	20566.54807
852	20563.62968
853	20554.17203
854	20549.01848
855	20543.32403
856	20538.77839
857	20530.94181
858	20524.62821
859	20513.65651
860	20509.88324
861	20501.81171
862	20499.70741
863	20499.27878
864	20492.80904
865	20486.67677
866	20478.46857
867	20467.34969
868	20464.12757
869	20454.76323
870	20445.25214
871	20445.13818
872	20442.17353
873	20438.01371
874	20437.9415
875	20430.3148
876	20416.51023
877	20411.85622
878	20407.24594
879	20403.58946
880	20396.08979
881	20389.00981
882	20382.21163
883	20376.50981
884	20370.58543
885	20367.65587
886	20365.44144
887	20352.87821
888	20347.87966
889	20344.48285
890	20339.68437
891	20331.21595
892	20325.51738
893	20324.39206
894	20322.15093
895	20310.81593
896	20305.58527
897	20302.32289
898	20291.56161
899	20282.35027
900	20274.55122
901	20272.34806
902	20265.45156
903	20264.83273
904	20253.73374
905	20250.34571
906	20238.6123
907	20230.63952
908	20222.10452
909	20213.07799
910	20207.67208
911	20198.59511
912	20194.02164
913	20190.23428
914	20185.67772
915	20180.47766
916	20176.67729
917	20169.67897
918	20161.71556
919	20155.29746
920	20146.8984
921	20140.46138
922	20137.91701
923	20131.89924
924	20130.39357
925	20125.592
926	20118.32503
927	20108.94803
928	20100.44817
929	20094.69283
930	20094.61056
931	20091.78748
932	20083.58053
933	20077.7415
934	20069.91199
935	20068.72185
936	20064.20874
937	20062.36548
938	20056.26456
939	20052.52071
940	20042.89143
941	20039.12498
942	20036.7053
943	20027.55068
944	20024.14758
945	20015.81898
946	20009.43684
947	19998.235
948	19994.05336
949	19987.36688
950	19982.82502
951	19980.06192
952	19979.88089
953	19972.91848
954	19970.17112
955	19964.3513
956	19958.53143
957	19948.4886
958	19944.7044
959	19935.27506
960	19923.44405
961	19920.17367
962	19917.0258
963	19909.75318
964	19900.86316
965	19889.76755
966	19882.80589
967	19876.20667
968	19872.06882
969	19871.07205
970	19866.92237
971	19860.98646
972	19852.57307
973	19844.40182
974	19841.92412
975	19832.97664
976	19824.32342
977	19820.65415
978	19818.07802
979	19811.15458
980	19806.63713
981	19804.01423
982	19798.03206
983	19792.33739
984	19792.22434
985	19785.7562
986	19781.7689
987	19776.44162
988	19770.8723
989	19761.72897
990	19760.58333
991	19751.21377
992	19745.57738
993	19740.5387
994	19737.23569
995	19727.77364
996	19724.85284
997	19719.97146
998	19712.3405
999	19705.52486
